(X,Z,SeedCount)
6511,2468,288
-3141,-9442,288
128,-3446,287
3752,5188,287
5264,6439,287
-7362,-5185,287
-7566,-7511,287
-9034,-1408,287
9876,-5575,287
-5631,-2090,286
-2262,5954,286
-6547,-2478,286
7950,3920,286
-2721,8377,286
-1013,9551,286
-2588,1305,285
-2588,-4796,285
-494,-249,284
-2293,4595,284
5100,-1892,284
-5302,5275,284
-6388,737,284
-7033,-3833,284
-557,-7128,284
7682,7209,284
127,736,283
-5762,-5671,283
4443,7511,283
9455,6639,283
4087,-780,282
6614,6623,282
-6644,2474,282
6346,7115,282
1438,7309,282
8047,1597,282
-9359,50,282
6572,-2172,281
6343,-7800,281
4971,8662,281
8833,8957,281
4349,150,280
-6189,434,280
3759,9146,280
9288,2661,280
-2193,9545,280
28,821,279
-4485,8659,279
-4256,-9635,279
-1607,5569,278
-6450,4115,278
-6088,7017,278
-7071,-7229,278
-7366,-5566,278
-7690,4603,278
455,-7108,277
7521,-7306,277
-7038,-8283,277
-7038,-8284,277
9028,-8663,277
1207,9249,277
-9460,-4413,277
-9820,441,277
4870,2861,276
5091,-5672,276
-9003,-4601,276
747,-9150,276
-1702,433,275
-3763,526,275
5392,525,275
-5864,-4509,275
-6189,-5570,275
5559,6240,275
7033,3460,275
1567,-7313,275
-7889,6446,275
-6938,8284,275
9585,-9634,275
-1116,-1987,274
5821,3636,274
1175,6538,274
7030,4608,274
-2847,-7421,274
7686,-1878,274
4445,8379,274
9519,7305,274
-2620,918,273
1409,3145,273
-822,7510,273
6180,8575,273
5427,1728,272
-3246,-5470,272
-5429,6339,272
-2695,-6358,272
-6547,1304,272
-6644,-3534,272
-7202,-3537,272
1799,-9352,272
2846,1690,271
-2585,-4115,271
-5011,-148,271
-6356,5087,271
-2717,7512,271
-8577,5658,271
-8675,9065,271
-9162,-5775,271
8961,-9533,271
3401,6057,270
3401,6058,270
-4801,-6990,270
5428,7113,270
4679,-7899,270
-4004,8643,270
-6741,8967,270
4511,-9350,270
-3601,-2380,269
-3938,2679,269
8470,7990,269
-9033,1787,269
-8746,-9634,269
-1279,-1595,268
-3761,4397,268
-3015,5181,268
-6645,3243,268
-9110,2141,268
-4878,-9733,268
1043,-4317,267
-6221,6945,267
5231,-8285,267
8736,6159,267
4609,9353,267
7752,9446,267
3597,-1108,266
-2652,-5770,266
-6600,3627,266
3760,8292,266
-2752,-819,265
5299,-7229,265
457,8474,265
9288,-2371,265
257,-1114,264
2842,2863,264
1796,-3538,264
422,-4123,264
1599,5564,264
-3271,-5570,264
4741,7313,264
-7757,-1989,264
-6511,-8097,264
-9360,-144,264
-1509,-9640,264
682,-434,263
-2192,-52,263
328,-2276,263
3466,7025,263
-7464,6532,263
-1930,8761,263
-8873,-3246,263
-2881,-9271,263
1045,-9574,263
